,LOGIST_REGRESSION_RLOG,CLASSIF_RLog
0,0.4002915942252627,0
1,0.3822520887512611,0
2,0.24566971678116548,0
3,0.2607737439853936,0
4,0.10706614216008056,0
5,0.21874225433189834,0
6,0.06085511753590277,0
7,0.2355635741354451,0
8,0.034837686260598966,0
9,0.022262766870711697,0
10,0.5893072692940026,1
11,0.6903620237181732,1
12,0.47374447379110235,0
13,0.17721049243963835,0
14,0.6905619851759087,1
15,0.008047927072795141,0
16,0.07065369492615378,0
17,0.38203118360451854,0
18,0.40783595373217885,0
19,0.14993758484077918,0
20,0.18134870712697235,0
21,0.24090483693222012,0
22,0.022199211255699333,0
23,0.28452739265572874,0
24,0.37646593799520894,0
25,0.20171991460556718,0
26,0.013809764185981323,0
27,0.03328695956627046,0
28,0.3357170345612622,0
29,0.010187719199838999,0
30,0.12490223886231978,0
31,0.24090483693222012,0
32,0.024860802972209654,0
33,0.04552501980027681,0
34,0.1998232560850218,0
35,0.3920395145643553,0
36,0.07685169114478736,0
37,0.09865051282586959,0
38,0.47023981082663596,0
39,0.3917279945449664,0
40,0.369473355532559,0
41,0.2710603309134143,0
42,0.059998157216406375,0
43,0.5628205868278157,1
44,0.07379010537415819,0
45,0.013896804596968853,0
46,0.04972397923892705,0
47,0.0047593244465984706,0
48,0.5862166177333511,1
49,0.5536384127059313,1
50,0.14946998383467372,0
51,0.15834829102132122,0
52,0.4633558720531963,0
53,0.24498960572228368,0
54,0.011631725800897734,0
55,0.28186263752029456,0
56,0.4089197008584632,0
57,0.4011737553818729,0
58,0.07870105300734878,0
59,0.06574565254441463,0
60,0.1623104878478819,0
61,0.25390770191192985,0
62,0.21727372173915427,0
63,0.3987630873723698,0
64,0.0020904451007619355,0
65,0.005657873573166337,0
66,0.04733420694302666,0
67,0.2741079083886491,0
68,0.01821332615217096,0
69,0.039807811224174955,0
70,0.03571852826518135,0
71,0.009863372319353018,0
72,0.6735232401948367,1
73,0.4535549308335204,0
74,0.48043491430311525,0
75,0.6342093869214144,1
76,0.05482628292634065,0
77,0.10957400802936067,0
78,0.14318319865312099,0
79,0.649341659650629,1
80,0.4778112947179204,0
81,0.057963005332145566,0
82,0.30460828998449435,0
83,0.12408190132791179,0
84,0.4707985628210631,0
85,0.014121082862612532,0
86,0.20171991460556718,0
87,0.1454016576426793,0
88,0.26324015082968855,0
89,0.08770633998051698,0
90,0.704721499897862,1
91,0.5703927663605308,1
92,0.4049844874311295,0
93,0.356654137940195,0
94,0.4278118262470235,0
95,0.11087382042302053,0
96,0.5109431497935029,1
97,0.008590832626123231,0
98,0.45387893069428814,0
99,0.13223865474726246,0
100,0.0600245623075628,0
101,0.11100275085224684,0
102,0.025204012298230806,0
103,0.06564182169110279,0
104,0.25556648490984335,0
105,0.6054528826841156,1
106,0.09603074299742742,0
107,0.537086327759434,1
108,0.28167329466120355,0
109,0.3671363889377426,0
110,0.180822264578847,0
111,0.4012862120023026,0
112,0.010586000062912958,0
113,0.30173617408658876,0
114,0.24090483693222012,0
115,0.5867605421890623,1
116,0.37223120570492835,0
117,0.20628697668835688,0
118,0.01496520642034012,0
119,0.022975080482154082,0
120,0.3117635785327145,0
121,0.007280156313656749,0
122,0.02901698096799638,0
123,0.18916103961734895,0
124,0.3607340266767971,0
125,0.03712017535904507,0
126,0.3514679499292985,0
127,0.3371147185462573,0
128,0.008999867525144678,0
129,0.07341946171462156,0
130,0.5470018046512015,1
131,0.4205087108498664,0
132,0.049374660804901306,0
